,USPS,GEOID,ANSICODE,NAME,LSAD,FUNCSTAT,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,latitude,longitude,NAME_LOWER,fips,identifier
1160,AZ,445275,2582823,Mead Ranch,57,S,1547586,1998,0.598,0.001,34.34613,-111.142802,mead ranch,04,mead ranch-04
1161,AZ,445285,2582824,Meadview,57,S,80386658,0,31.037,0.0,35.953156,-114.078871,meadview,04,meadview-04
1162,AZ,446000,2411087,Mesa,25,A,357437771,1960110,138.008,0.757,33.402011,-111.717538,mesa,04,mesa-04
1163,AZ,446005,2582825,Mesa del Caballo,57,S,815885,0,0.315,0.0,34.285966,-111.295222,mesa del caballo,04,mesa del caballo-04
1164,AZ,446070,2582826,Mescal,57,S,12589708,14281,4.861,0.006,31.96743,-110.436582,mescal,04,mescal-04
1165,AZ,446087,2408824,Mesquite Creek,57,S,2626497,0,1.014,0.0,34.960597,-114.571385,mesquite creek,04,mesquite creek-04
1166,AZ,446350,2412991,Miami,43,A,2270920,0,0.877,0.0,33.395008,-110.872236,miami,04,miami-04
1167,AZ,446840,2582827,Miracle Valley,57,S,1417129,0,0.547,0.0,31.3829,-110.148538,miracle valley,04,miracle valley-04
1168,AZ,447190,2582828,Moccasin,57,S,1983737,0,0.766,0.0,36.909836,-112.754507,moccasin,04,moccasin-04
1169,AZ,447330,2408850,Moenkopi,57,S,3893072,0,1.503,0.0,36.112484,-111.221242,moenkopi,04,moenkopi-04
1170,AZ,447400,2408851,Mohave Valley,57,S,36317246,42331,14.022,0.016,34.902431,-114.571389,mohave valley,04,mohave valley-04
1171,AZ,447495,2408854,Mojave Ranch Estates,57,S,1937625,0,0.748,0.0,34.944901,-114.590643,mojave ranch estates,04,mojave ranch estates-04
1172,AZ,447610,2408868,Morenci,57,S,2489409,56839,0.961,0.022,33.052197,-109.326476,morenci,04,morenci-04
1173,AZ,447750,2582829,Morristown,57,S,2089007,1737,0.807,0.001,33.855895,-112.612886,morristown,04,morristown-04
1174,AZ,447820,2408886,Mountainaire,57,S,26405421,5353,10.195,0.002,35.093767,-111.645195,mountainaire,04,mountainaire-04
1175,AZ,448170,2408889,Munds Park,57,S,57620064,104557,22.247,0.04,34.919646,-111.613355,munds park,04,munds park-04
1176,AZ,448310,2408897,Naco,57,S,8554245,2986,3.303,0.001,31.345999,-109.927089,naco,04,naco-04
1177,AZ,449010,2408907,Nazlini,57,S,19299571,16878,7.452,0.007,35.911225,-109.474672,nazlini,04,nazlini-04
1178,AZ,449100,2582830,Nelson,57,S,1234534,0,0.477,0.0,32.42981,-111.264924,nelson,04,nelson-04
1179,AZ,449270,2408919,New Kingman-Butler,57,S,12873549,0,4.971,0.0,35.264487,-114.009073,new kingman-butler,04,new kingman-butler-04
1180,AZ,449360,2408920,New River,57,S,145374221,28824,56.129,0.011,33.882591,-112.086107,new river,04,new river-04
1181,AZ,449640,2411260,Nogales,25,A,53915276,52011,20.817,0.02,31.362463,-110.933538,nogales,04,nogales-04
1182,AZ,449710,2582831,Nolic,57,S,1352811,0,0.522,0.0,32.034183,-111.955021,nolic,04,nolic-04
1183,AZ,450000,2582832,North Fork,57,S,159564923,34020,61.608,0.013,34.01057,-109.959543,north fork,04,north fork-04
1184,AZ,450340,2582833,Nutrioso,57,S,796153,0,0.307,0.0,33.951437,-109.205912,nutrioso,04,nutrioso-04
1185,AZ,450480,2582834,Oak Springs,57,S,481437,0,0.186,0.0,35.476055,-109.131765,oak springs,04,oak springs-04
1186,AZ,450620,2582835,Oatman,57,S,497371,0,0.192,0.0,35.027375,-114.38386,oatman,04,oatman-04
1187,AZ,451142,2408987,Oljato-Monument Valley,57,S,31911226,2531,12.321,0.001,36.987248,-110.209642,oljato-monument valley,04,oljato-monument valley-04
1188,AZ,451180,2408994,Oracle,57,S,40894938,0,15.79,0.0,32.608522,-110.782595,oracle,04,oracle-04
1189,AZ,451465,2582836,Orange Grove Mobile Manor,57,S,162309,0,0.063,0.0,32.598451,-114.660588,orange grove mobile manor,04,orange grove mobile manor-04
1190,AZ,451600,2413092,Oro Valley,43,A,92289379,293219,35.633,0.113,32.422094,-110.976235,oro valley,04,oro valley-04
1191,AZ,451775,2582837,Oxbow Estates,57,S,1271640,390,0.491,0.0,34.180346,-111.343027,oxbow estates,04,oxbow estates-04
1192,AZ,451800,2582838,Padre Ranchitos,57,S,751481,0,0.29,0.0,32.649591,-114.641584,padre ranchitos,04,padre ranchitos-04
1193,AZ,451810,2411352,Page,25,A,98918615,377829,38.193,0.146,36.941815,-111.513283,page,04,page-04
1194,AZ,452230,2582839,Palominas,57,S,5043100,6422,1.947,0.002,31.387556,-110.115065,palominas,04,palominas-04
1195,AZ,452930,2413114,Paradise Valley,43,A,39841019,74368,15.383,0.029,33.552157,-111.96133,paradise valley,04,paradise valley-04
1196,AZ,453070,2413116,Parker,43,A,56919355,34813,21.977,0.013,34.033963,-114.228159,parker,04,parker-04
1197,AZ,453210,2409030,Parker Strip,57,S,8076988,2676563,3.119,1.033,34.270721,-114.129689,parker strip,04,parker strip-04
1198,AZ,453350,2409033,Parks,57,S,440431110,63244,170.051,0.024,35.285249,-111.967182,parks,04,parks-04
1199,AZ,453490,2413118,Patagonia,43,A,3334708,13589,1.288,0.005,31.544744,-110.745463,patagonia,04,patagonia-04
1200,AZ,453560,2409038,Paulden,57,S,147789800,0,57.062,0.0,34.889889,-112.493777,paulden,04,paulden-04
1201,AZ,453700,2413121,Payson,43,A,50110860,18653,19.348,0.007,34.243841,-111.318964,payson,04,payson-04
1202,AZ,453770,2409042,Peach Springs,57,S,20498273,0,7.914,0.0,35.53145,-113.43198,peach springs,04,peach springs-04
1203,AZ,453910,2409049,Peeples Valley,57,S,39214820,0,15.141,0.0,34.277224,-112.765341,peeples valley,04,peeples valley-04
1204,AZ,454050,2411401,Peoria,25,A,455068615,8818424,175.703,3.405,33.786196,-112.308015,peoria,04,peoria-04
1205,AZ,454190,2409055,Peridot,57,S,13305648,3232,5.137,0.001,33.30096,-110.452016,peridot,04,peridot-04
1206,AZ,455000,2411414,Phoenix,25,A,1340759994,3243136,517.67,1.252,33.572154,-112.090132,phoenix,04,phoenix-04
1207,AZ,455210,2582840,Picacho,57,S,15886690,3930,6.134,0.002,32.710189,-111.494188,picacho,04,picacho-04
1208,AZ,455300,2409062,Picture Rocks,57,S,183471008,34607,70.839,0.013,32.324713,-111.259861,picture rocks,04,picture rocks-04
1209,AZ,455560,2413130,Pima,43,A,18898584,156704,7.297,0.061,32.891886,-109.844268,pima,04,pima-04
1210,AZ,455575,2582841,Pimaco Two,57,S,11764014,0,4.542,0.0,31.966573,-110.466286,pimaco two,04,pimaco two-04
1211,AZ,455630,2582842,Pinal,57,S,1062626,0,0.41,0.0,33.379926,-110.757121,pinal,04,pinal-04
1212,AZ,455700,2409065,Pine,57,S,83950986,20686,32.414,0.008,34.380348,-111.460476,pine,04,pine-04
1213,AZ,455840,2582843,Pinedale,57,S,25068779,0,9.679,0.0,34.320724,-110.259901,pinedale,04,pinedale-04
1214,AZ,455845,2582844,Pine Lake,57,S,4372018,0,1.688,0.0,35.088699,-113.873929,pine lake,04,pine lake-04
1215,AZ,455880,2582845,Pinetop Country Club,57,S,17497843,0,6.756,0.0,34.116332,-109.891052,pinetop country club,04,pinetop country club-04
1216,AZ,455980,2413136,Pinetop-Lakeside,43,A,28928645,192024,11.169,0.074,34.148424,-109.965998,pinetop-lakeside,04,pinetop-lakeside-04
1217,AZ,455983,2582846,Pinion Pines,57,S,3891467,0,1.503,0.0,35.14663,-113.905814,pinion pines,04,pinion pines-04
1218,AZ,456120,2409075,Pinon,57,S,16789609,27579,6.483,0.011,36.098856,-110.219116,pinon,04,pinon-04
1219,AZ,456400,2409076,Pirtleville,57,S,4825985,1270,1.863,0.0,31.360894,-109.566052,pirtleville,04,pirtleville-04
1220,AZ,456470,2409078,Pisinemo,57,S,5875810,0,2.269,0.0,32.034917,-112.319228,pisinemo,04,pisinemo-04
1221,AZ,457170,2409097,Poston,57,S,3530204,0,1.363,0.0,33.99208,-114.404566,poston,04,poston-04
1222,AZ,457380,2411487,Prescott,25,A,116394592,616810,44.94,0.238,34.585842,-112.446241,prescott,04,prescott-04
1223,AZ,457450,2412507,Prescott Valley,43,A,105916853,0,40.895,0.0,34.598224,-112.317719,prescott valley,04,prescott valley-04
1224,AZ,458010,2412516,Quartzsite,43,A,94008867,0,36.297,0.0,33.667507,-114.217041,quartzsite,04,quartzsite-04
1225,AZ,458150,2412518,Queen Creek,43,A,77828379,84935,30.05,0.033,33.24083,-111.642876,queen creek,04,queen creek-04
1226,AZ,458290,2409115,Queen Valley,57,S,25187016,10044,9.725,0.004,33.27333,-111.317922,queen valley,04,queen valley-04
1227,AZ,458620,2582847,Rainbow City,57,S,5640768,0,2.178,0.0,33.873032,-109.976274,rainbow city,04,rainbow city-04
1228,AZ,458870,2582848,Rancho Mesa Verde,57,S,290861,0,0.112,0.0,32.594385,-114.655084,rancho mesa verde,04,rancho mesa verde-04
1229,AZ,459550,2409150,Red Mesa,57,S,33265387,9167,12.844,0.004,36.971111,-109.36982,red mesa,04,red mesa-04
1230,AZ,459690,2582849,Red Rock,57,S,3018843,801,1.166,0.0,36.601117,-109.064539,red rock,04,red rock-04
1231,AZ,459760,2582850,Red Rock,57,S,122516887,9515,47.304,0.004,32.561182,-111.374004,red rock,04,red rock-04
1232,AZ,459900,2582851,Rillito,57,S,209155,0,0.081,0.0,32.415687,-111.154937,rillito,04,rillito-04
1233,AZ,460120,2582852,Rincon Valley,57,S,66102106,0,25.522,0.0,32.110055,-110.68888,rincon valley,04,rincon valley-04
1234,AZ,460180,2629190,Rio Rico,57,S,161245212,486173,62.257,0.188,31.498168,-110.987798,rio rico,04,rio rico-04
1235,AZ,460250,2409181,Rio Verde,57,S,11212075,14833,4.329,0.006,33.726592,-111.675849,rio verde,04,rio verde-04
1236,AZ,460770,2582853,Rock House,57,S,1574509,82721,0.608,0.032,33.630654,-110.941078,rock house,04,rock house-04
1237,AZ,460880,2409193,Rock Point,57,S,36668925,46450,14.158,0.018,36.696848,-109.619491,rock point,04,rock point-04
1238,AZ,461300,2582854,Roosevelt,57,S,6966992,22644,2.69,0.009,33.657393,-111.127051,roosevelt,04,roosevelt-04
1239,AZ,461370,2409215,Rough Rock,57,S,33116924,5693,12.787,0.002,36.409489,-109.868403,rough rock,04,rough rock-04
1240,AZ,461440,2409217,Round Rock,57,S,36908820,251344,14.251,0.097,36.504256,-109.463156,round rock,04,round rock-04
1241,AZ,461448,2582855,Round Valley,57,S,12395490,0,4.786,0.0,34.187758,-111.301801,round valley,04,round valley-04
1242,AZ,461690,2582856,Rye,57,S,1318062,0,0.509,0.0,34.097775,-111.354263,rye,04,rye-04
1243,AZ,461715,2612142,Sacate Village,57,S,9017658,0,3.482,0.0,33.141648,-111.981088,sacate village,04,sacate village-04
1244,AZ,461720,2409225,Sacaton,57,S,21033536,0,8.121,0.0,33.079287,-111.768246,sacaton,04,sacaton-04
1245,AZ,461800,2612143,Sacaton Flats Village,57,S,16150048,0,6.236,0.0,33.055897,-111.658992,sacaton flats village,04,sacaton flats village-04
1246,AZ,461940,2582857,Saddlebrooke,57,S,75745548,695,29.246,0.0,32.54084,-110.855841,saddlebrooke,04,saddlebrooke-04
1247,AZ,462000,2411753,Safford,25,A,22136213,81529,8.547,0.031,32.832106,-109.701233,safford,04,safford-04
1248,AZ,462140,2412592,Sahuarita,43,A,81483989,0,31.461,0.0,31.932739,-110.96536,sahuarita,04,sahuarita-04
1249,AZ,462280,2409227,St. David,57,S,13794425,38301,5.326,0.015,31.886037,-110.221485,st. david,04,st. david-04
1250,AZ,462350,2411761,St. Johns,25,A,67101250,457467,25.908,0.177,34.500368,-109.37691,st. johns,04,st. johns-04
1251,AZ,462362,2612144,St. Johns,57,S,5907308,2470,2.281,0.001,33.308487,-112.197381,st. johns,04,st. johns-04
1252,AZ,462420,2409230,St. Michaels,57,S,9891096,0,3.819,0.0,35.660559,-109.096174,st. michaels,04,st. michaels-04
1253,AZ,462700,2409240,Salome,57,S,86337700,0,33.335,0.0,33.777761,-113.606052,salome,04,salome-04
1254,AZ,462910,2409250,San Carlos,57,S,22213736,13107,8.577,0.005,33.344557,-110.477713,san carlos,04,san carlos-04
1255,AZ,463050,2582858,Sanders,57,S,6203271,0,2.395,0.0,35.209558,-109.322378,sanders,04,sanders-04
1256,AZ,463260,2582859,San Jose,57,S,10864762,47834,4.195,0.018,32.817963,-109.5948,san jose,04,san jose-04
1257,AZ,463470,2411795,San Luis,25,A,88372572,191090,34.121,0.074,32.486434,-114.724142,san luis,04,san luis-04
1258,AZ,463540,2409262,San Manuel,57,S,53673060,78904,20.723,0.03,32.60603,-110.647113,san manuel,04,san manuel-04
1259,AZ,463610,2582860,San Miguel,57,S,14638867,0,5.652,0.0,31.629493,-111.780134,san miguel,04,san miguel-04
1260,AZ,463820,2582861,San Simon,57,S,1811801,0,0.7,0.0,32.267976,-109.23099,san simon,04,san simon-04
1261,AZ,463960,2612145,Santa Cruz,57,S,4218299,0,1.629,0.0,33.232701,-112.159368,santa cruz,04,santa cruz-04
1262,AZ,464210,2629370,San Tan Valley,57,S,94979522,0,36.672,0.0,33.187911,-111.547257,san tan valley,04,san tan valley-04
1263,AZ,464310,2409281,Santa Rosa,57,S,16959068,0,6.548,0.0,32.332558,-112.046404,santa rosa,04,santa rosa-04
1264,AZ,464590,2409289,Sawmill,57,S,14935603,21306,5.767,0.008,35.894089,-109.157213,sawmill,04,sawmill-04
1265,AZ,464650,2582862,Scenic,57,S,42498606,247234,16.409,0.095,36.793589,-114.012752,scenic,04,scenic-04
1266,AZ,465000,2411845,Scottsdale,25,A,476507776,1211956,183.981,0.468,33.684272,-111.861448,scottsdale,04,scottsdale-04
1267,AZ,465167,2582863,Seba Dalkai,57,S,39190579,4030,15.132,0.002,35.478933,-110.4511,seba dalkai,04,seba dalkai-04
1268,AZ,465280,2409299,Second Mesa,57,S,103921614,38150,40.124,0.015,35.851387,-110.49799,second mesa,04,second mesa-04
1269,AZ,465350,2411858,Sedona,25,A,49293881,108656,19.032,0.042,34.857372,-111.795285,sedona,04,sedona-04
1270,AZ,465400,2582864,Sehili,57,S,1688235,3642,0.652,0.001,36.280772,-109.185521,sehili,04,sehili-04
1271,AZ,465420,2409305,Seligman,57,S,16596673,0,6.408,0.0,35.3256,-112.857246,seligman,04,seligman-04
1272,AZ,465490,2409306,Sells,57,S,24585656,28206,9.493,0.011,31.920874,-111.87087,sells,04,sells-04
1273,AZ,465780,2582865,Seven Mile,57,S,5862308,23908,2.263,0.009,33.788181,-109.958554,seven mile,04,seven mile-04
1274,AZ,466190,2408730,Shongopovi,57,S,4109808,20688,1.587,0.008,35.809701,-110.533441,shongopovi,04,shongopovi-04
1275,AZ,466260,2408731,Shonto,57,S,11805209,29142,4.558,0.011,36.587043,-110.662477,shonto,04,shonto-04
1276,AZ,466470,2411895,Show Low,25,A,169642559,1226364,65.499,0.474,34.265053,-110.038321,show low,04,show low-04
1277,AZ,466820,2411898,Sierra Vista,25,A,394232003,678788,152.214,0.262,31.56541,-110.314508,sierra vista,04,sierra vista-04
1278,AZ,466845,2408736,Sierra Vista Southeast,57,S,287149604,53325,110.869,0.021,31.452512,-110.218977,sierra vista southeast,04,sierra vista southeast-04
1279,AZ,467295,2582866,Six Shooter Canyon,57,S,7552852,1809,2.916,0.001,33.366782,-110.774601,six shooter canyon,04,six shooter canyon-04
1280,AZ,467800,2413301,Snowflake,43,A,86819176,150418,33.521,0.058,34.521459,-110.091182,snowflake,04,snowflake-04
1281,AZ,467920,2582867,So-Hi,57,S,2268157,0,0.876,0.0,35.252725,-114.141482,so-hi,04,so-hi-04
1282,AZ,468010,2582868,Solomon,57,S,539369,0,0.208,0.0,32.813811,-109.62893,solomon,04,solomon-04
1283,AZ,468080,2411927,Somerton,25,A,19210022,26397,7.417,0.01,32.60204,-114.695775,somerton,04,somerton-04
1284,AZ,468220,2408756,Sonoita,57,S,27327011,12247,10.551,0.005,31.66561,-110.639105,sonoita,04,sonoita-04
1285,AZ,468670,2582869,South Komelik,57,S,10101869,0,3.9,0.0,31.714472,-111.774415,south komelik,04,south komelik-04
1286,AZ,468850,2411943,South Tucson,25,A,2659684,0,1.027,0.0,32.195474,-110.969154,south tucson,04,south tucson-04
1287,AZ,468990,2413323,Springerville,43,A,29847569,422096,11.524,0.163,34.171921,-109.306892,springerville,04,springerville-04
1288,AZ,469060,2408795,Spring Valley,57,S,27400316,0,10.579,0.0,34.353088,-112.15131,spring valley,04,spring valley-04
1289,AZ,469130,2409993,Stanfield,57,S,10200368,21287,3.938,0.008,32.879365,-111.962771,stanfield,04,stanfield-04
1290,AZ,469480,2413328,Star Valley,43,A,93612169,23698,36.144,0.009,34.254685,-111.220709,star valley,04,star valley-04
1291,AZ,469585,2409999,Steamboat,57,S,6202949,1816,2.395,0.001,35.752636,-109.850583,steamboat,04,steamboat-04
1292,AZ,469872,2612146,Stotonic Village,57,S,12832448,0,4.955,0.0,33.152793,-111.816729,stotonic village,04,stotonic village-04
1293,AZ,470040,2410012,Strawberry,57,S,24507172,10057,9.462,0.004,34.403132,-111.497805,strawberry,04,strawberry-04
1294,AZ,470175,2582870,Summerhaven,57,S,11750236,0,4.537,0.0,32.441596,-110.7766,summerhaven,04,summerhaven-04
1295,AZ,470240,2410018,Summit,57,S,9597863,0,3.706,0.0,32.062079,-110.948376,summit,04,summit-04
1296,AZ,470320,2410022,Sun City,57,S,37347941,451036,14.42,0.174,33.6155,-112.283108,sun city,04,sun city-04
1297,AZ,470355,2410024,Sun City West,57,S,28195730,8243,10.886,0.003,33.671383,-112.357187,sun city west,04,sun city west-04
1298,AZ,470460,2582871,Sunizona,57,S,21968660,0,8.482,0.0,31.884058,-109.6329,sunizona,04,sunizona-04
1299,AZ,470530,2410025,Sun Lakes,57,S,13917266,56165,5.373,0.022,33.214955,-111.869973,sun lakes,04,sun lakes-04
1300,AZ,471160,2582872,Sun Valley,57,S,81744303,129749,31.562,0.05,34.982905,-110.031971,sun valley,04,sun valley-04
1301,AZ,471220,2582873,Sunwest,57,S,62802397,0,24.248,0.0,33.650984,-113.409131,sunwest,04,sunwest-04
1302,AZ,471230,2410036,Supai,57,S,4481079,0,1.73,0.0,36.229964,-112.692609,supai,04,supai-04
1303,AZ,471300,2413353,Superior,43,A,5082095,0,1.962,0.0,33.285087,-111.110919,superior,04,superior-04
1304,AZ,471510,2412016,Surprise,25,A,280149266,288553,108.166,0.111,33.670612,-112.452674,surprise,04,surprise-04
1305,AZ,471642,2612147,Sweet Water Village,57,S,2071426,0,0.8,0.0,33.12,-111.837866,sweet water village,04,sweet water village-04
1306,AZ,471650,2410041,Swift Trail Junction,57,S,9499776,85622,3.668,0.033,32.727193,-109.718114,swift trail junction,04,swift trail junction-04
1307,AZ,471790,2410046,Tacna,57,S,4979076,0,1.922,0.0,32.700435,-113.961785,tacna,04,tacna-04
1308,AZ,472000,2410057,Tanque Verde,57,S,83695766,0,32.315,0.0,32.268756,-110.743733,tanque verde,04,tanque verde-04
